Modify the time out from 300 to 30000
begin download dataset
Dataset download succeed!
Trainable parameters: 18142736
dataset has 54344 batches
Load the trained epoch :1 and step: 54344
[WARNING] ME(177:281473027448848,MainProcess):2023-12-19-10:25:31.281.618 [mindspore/communication/_comm_helper.py:339] 'BroadcastWorldGroup' group has existed.
time: Tue Dec 19 11:44:50 2023 local_rank: 0, epoch: 1, step: 54749, loss is 0.10156
time: Tue Dec 19 11:45:33 2023 local_rank: 0, epoch: 1, step: 54754, loss is 0.1024
time: Tue Dec 19 11:46:16 2023 local_rank: 0, epoch: 1, step: 54759, loss is 0.1051
time: Tue Dec 19 11:47:00 2023 local_rank: 0, epoch: 1, step: 54764, loss is 0.1011
time: Tue Dec 19 11:47:42 2023 local_rank: 0, epoch: 1, step: 54769, loss is 0.10876
time: Tue Dec 19 11:48:25 2023 local_rank: 0, epoch: 1, step: 54774, loss is 0.1326
time: Tue Dec 19 11:49:09 2023 local_rank: 0, epoch: 1, step: 54779, loss is 0.1343
time: Tue Dec 19 11:49:52 2023 local_rank: 0, epoch: 1, step: 54784, loss is 0.1332
time: Tue Dec 19 11:50:34 2023 local_rank: 0, epoch: 1, step: 54789, loss is 0.1396
time: Tue Dec 19 11:51:17 2023 local_rank: 0, epoch: 1, step: 54794, loss is 0.1362
time: Tue Dec 19 11:52:00 2023 local_rank: 0, epoch: 1, step: 54799, loss is 0.1345
time: Tue Dec 19 11:52:43 2023 local_rank: 0, epoch: 1, step: 54804, loss is 0.1294
time: Tue Dec 19 11:53:26 2023 local_rank: 0, epoch: 1, step: 54809, loss is 0.1614
time: Tue Dec 19 11:54:09 2023 local_rank: 0, epoch: 1, step: 54814, loss is 0.144
time: Tue Dec 19 11:54:52 2023 local_rank: 0, epoch: 1, step: 54819, loss is 0.11487
time: Tue Dec 19 11:55:35 2023 local_rank: 0, epoch: 1, step: 54824, loss is 0.1152
time: Tue Dec 19 11:56:18 2023 local_rank: 0, epoch: 1, step: 54829, loss is 0.12463
time: Tue Dec 19 11:57:02 2023 local_rank: 0, epoch: 1, step: 54834, loss is 0.12054
time: Tue Dec 19 11:57:45 2023 local_rank: 0, epoch: 1, step: 54839, loss is 0.1334
time: Tue Dec 19 11:58:28 2023 local_rank: 0, epoch: 1, step: 54844, loss is 0.1394
